"BOOK_ID","ACCESSION_DATE","ACC_DATE_STAND","DISCARD_DATE","DISC_DATE_STAND","ACCESSION_NUMBER","DUP_ACC","AUTHOR","TITLE","PUBLISHER","WHERE_PUBLISHED","DATE_PUBLISHED","NUM_VOLS","SIZE","NUM_PAGES","BINDING_TYPE_ID","PROVENANCE","COST_DENOM_ID","COST_FULL","COST_US","COST_UK","ORIGIN_ID","ADDITIONAL_INFO","REVIEW_NOTES","LEDGER_NUM","LEDGER_PAGE_NUM","LAST_MODIFIED","BOOKS_OCLC_ID","DMR_LINK_CODE","DMR_DIRECT_CODE","OLD_DMR_DIRECT_CODE"
"13","Jan. 29, 1875","1875-01-29","Je. '18","1918-06-01","7","0","Revs. Hudson & Cobb","Theological discussion",,"Boston, Mass.","1860","1","8","478","1","Thomas Kirby",,,"0.00",,"1","Author line reads:
Revs. Hudson & Cobb (?)","#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:29:53","12","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"14","Feb. 20th 1875","1875-02-20","May 1914","1914-05-01","8","0","MacGillivray, William","Humbolt's travels & researches",,"New York","1843","1","10","367","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:33:48","13","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"15","Ap 1889","1889-04-01",,,"6534","0",,"House Exec 1st Sess 49 Congress Rept Sec of Interior 1885",,"Washington D.C.","1885","14","8","848","7","Dept of Interior",,,"0.00",,"1","Might also be the Report of the Commissioner of Education.","#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 08:59:48","14","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"16","Ap 1889","1889-04-01",,,"6535","0",,"House Exec 1st Sess 49 Congress Rept of Sec of War Pt 2",,"Washington D.C.","1885","4","8","1656","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:02:28","15","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"17","Ap 1889","1889-04-01",,,"6536","0",,"House Exec 1st Sess 49 Congress Rept of Sec of War Part 3",,"Washington D.C.","1885","5","8","2533","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:03:58","16","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"18","Ap 1889","1889-04-01",,,"6537","0",,"House Exec 1st Sess 49 Congress Rept of Sec of Interior",,"Washington D.C.","1885","5","8","496","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:06:57","17","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"19","Feb. 20th, 1875","1875-02-20","'35","1935-01-01","10","0","Charles Wilkes, U.S.N.","U.S. Exploring Expedition",,"Philadelphia, Pa.","1845","1","8","434","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:39:36","18","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"20","Feb. 20th, 1875","1875-02-20","'35","1935-01-01","9","0","Tyerman & Bennet","Journal of travels",,"Boston, Mass.","1832","1","12","293","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:37:02","19","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"21","Feb, 20th 1875","1875-02-20","'35","1935-01-01","11","0","Charles Wilkes, U.S.N.","U.S. Exploring Expedition",,"Philadelphia, Pa.","1845","1","8","498","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:41:00","20","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"22","Feb. 20th 1875","1875-02-20","'35","1935-01-01","12","0","Charles Wilkes, U.S.N.","U.S. Exploring Expedition",,"Philadelphia, Pa.","1845","1","8","539","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:44:32","21","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"23","Feb. 20th 1875","1875-02-20","'35","1935-01-01","13","0","Ferdinand Wrangell","Siberian & Polar expedition",,"New York","1843","1","18","302","1",,,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:46:13","22","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"24","Feb. 20th 1875","1875-02-20","May 1914","1914-05-01","14","0","Mathew L. Davis","Memoirs of Aaron Burr",,"New York","1837","1","8","449","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:48:53","23","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"25","Ap 1889","1889-04-01",,,"6538","0",,"House Exec 1st Sess 49 Congress Annual Rpt of Comp. D.C.",,"Washington D.C.","1885","16","8","464","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:08:38","24","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"26","Ap 1889","1889-04-01",,,"6539","0",,"House Exec 1st Sess 49 Congress Annual Rt of Sec. of Treasury",,"Washington D.C.","1885","17","8","745","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:11:52","25","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"27","Ap 1889","1889-04-01",,,"6540","0",,"House Exec 1st Sess 49 Congress Annual Rpt of Comptroller of Curre",,"Washington D.C.","1885","19","8","928","7","Dept. of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:14:10","26","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"28","Ap 1889","1889-04-01",,,"6541","0",,"House Exec 1st Sess 49 Congress Nos 4 to 20 Inclusive",,"Washington, D.C.","1885","20","8","680","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:14:56","11031","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"29","Ap 1889","1889-04-01",,,"6542","0",,"House Exec 1st Sess 49 Congress Estimates of Appropriations",,"Washington D.C.","1885","21","4","250","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:16:38","27","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"30","Ap 1889","1889-04-01",,,"6543","0",,"House Exec 1st Sess 49 Congress U.S. Coast & Geodetic Sur",,"Washington D.C.","1885","23","4","516","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:18:20","28","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"31","Ap 1889","1889-04-01",,,"6544","0",,"House Exec 1st Sess 49 Congress Nos 21 to 50 Inclusive",,"Washington D.C.","1885","24","8","620","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:19:29","11032","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"32","Ap 1889","1889-04-01",,,"6545","0",,"House Exec 1st Sess 49 Congress Accounts of Treasurer of U.S.",,"Washington D.C.","1885","26","8","1068","7","Washington D.C.",,,"0.00",,"1",,,"1","126","2010-12-14 09:21:11","11402","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"33","Ap 1889","1889-04-01",,,"6546","0",,"House Exec 1st Sess 49 Congress Receipt & Expend of U.S.",,"Washington D.C.","1885","27","8","560","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:22:40","29","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"34","Ap 1889","1889-04-01",,,"6547","0",,"House Exec 1st Sess 49 Congress Rept of Board on Fortifications",,"Washington D.C.","1885","28","4","393","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:24:16","30","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"35","Ap 1889","1889-04-01",,,"6548","0",,"House Exec 1st Sess 49 Congress Nos 52 to 118 Inclusive",,"Washington D.C.","1885","30","8","800","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:25:07","11033","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"36","Ap 1889","1889-04-01",,,"6549","0",,"House Exec 1st Sess 49 Congress Nos 119 to 172 Inclusive",,"Washington D.C.","1885","31","8","1000","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:26:11","11034","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"37","Ap 1889","1889-04-01",,,"6550","0",,"House Exec 1st Sess 49 Congress Nos 173 to 280 Inclusive",,"Washington D.C.","1885","33","8","1000","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:27:22","11035","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"38","Ap 1889","1889-04-01",,,"6551","0",,"House Exec 1st Sess 49 Congress Nos 281 to 377 Inclusive",,"Washington D.C.","1885","35","8","1200","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:28:49","11036","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"39","Ap 1889","1889-04-01",,,"6552","0",,"House Exec 1st Sess 49 Congress Productions of Precious Mettals",,"Washington D.C.","1885","36","8","317","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:30:38","31","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"40","Ap 1889","1889-04-01",,,"6553","0",,"House Miscl 1st Sess 49 Congress Consular Reports",,"Washington D.C.","1885","12","8","1282","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:32:25","32","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"41","Ap 1889","1889-04-01",,,"6554","0",,"House Miscl 1st Sess 49 Congress Nos 180 to 340",,"Washington D.C.","1885","13","8","501","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:34:00","11176","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"42","Ap 1889","1889-04-01",,,"6555","0",,"House Miscl 1st Sess 49 Congress Memorial Addr. on Life &",,"Washington D.C.","1885","15","6","100","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:35:33","11403","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"43","Ap 1889","1889-04-01",,,"6556","0",,"House Miscl 1st Sess 49 Congress Nos 341 to 395",,"Washington D.C.","1885","17","8","500","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:36:45","11179","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"44","Ap 1889","1889-04-01",,,"6557","0",,"House Miscl 1st Sess 49 Congress Rebellion Record",,"Washington D.C.","1885","20","8","897","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:38:25","33","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"45","Ap 1889","1889-04-01",,,"6558","0",,"House Exec 2nd Sess 49 Congress Foreign Relations of U.S.",,"Washington D.C.","1886","1","8","878","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 09:42:26","34","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"46","Ap 1889","1889-04-01",,,"6559","0",,"House Exec 2nd Sess 49 Congress Rept of Commiss of Agricult",,"Washington D.C.","1886","28","8","724","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:42:10","35","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"47","Ap 1889","1889-04-01",,,"6560","0",,"House repts 2nd Sess 49 Congress Investigation of Labor Troubles",,"Washington D.C.","1886","3","8","750","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:44:08","36","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"48","Ap 1889","1889-04-01",,,"6561","0",,"Senate Miscl 2nd Sess 49 Congress Memoirs of Nat. Acad. of Sci",,"Washington D.C.","1886","3","4","270","7","Dept of Interior",,,"0.00",,"1",,"#AUTO-GENERATED NOTE#
Day of accession date was assumed to be 1st day of month.  Please review for correctness.","1","126","2010-12-14 09:52:40","37","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"49","Ap 1889","1889-04-01",,,"6562","0",,"House Journal 1 Sess 50th Cong",,"Washington D.C.","1887",,"8","2376","7","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 11:12:23","38","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"50","Ap 1889","1889-04-01",,,"6563","0",,"House Journal 1 Sess 50th Cong",,"Washington D.C.","1887","1","8","1589","7","Dept of Interior",,,"0.00",,"1","Vol I is written in the No. Vols. column to indicate this is volume one of title.",,"1","126","2010-12-14 11:12:39","39","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"51","Ap 1889","1889-04-01",,,"6564","0",,"House Journal 1 Sess 50tth Cong And Appendix",,"Washington D.C.","1887","2","8","1589","7","Dept of Interior",,,"0.00",,"1","Vol II is written in the No. Vols. column to indicate this is volume two of the title.",,"1","126","2010-12-14 11:12:56","40","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"52","May 1889","1889-05-01",,,"6565","0",,"U.S. Commiss of Fish and Fisheries",,"Washington D.C.","1887","5","4","254","1","Dept of Interior",,,"0.00",,"1",,,"1","126","2010-12-14 11:13:11","41","AC01_126","555","&CISOPTR=681&CISOSHOW=555"
"53","Sept 28 1889","1889-09-28",,,"6566","0","Charlotte Bronte","Jane Eyre",,"Chicago Ill","1847","1","12","472","1","Publishers",,,"0.00",,"5",,,"1","127","2010-12-14 11:15:30","42","AC01_127","556","&CISOPTR=681&CISOSHOW=556"
"54","Sept 28 1889","1889-09-28","July 1904","1904-07-01","6567","0","Bulwer Lytton","Zanoni",,"Chicago Ill","1842","1","12","386","1","Publishers",,,"0.00",,"5",,,"1","127","2010-12-14 11:16:14","43","AC01_127","556","&CISOPTR=681&CISOSHOW=556"
"55","Feb. 20th 1875","1875-02-20","'35","1935-01-01","15","0","John Barrow","Life of Peter the Great",,"New York","1841","1","18","320","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-30 16:50:27","44","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"56","Feb. 20th 1875","1875-02-20","'35","1935-01-01","16","0","Henry Glassford Bell","Life of Mary Queen of Scots",,"New York","1841","1","18","276","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 08:56:34","45","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"57","Feb. 20th 1875","1875-02-20","'35","1935-01-01","17","0","Henry Glassford Bell","Life of Mary Queen of Scots",,"New York","1841","1","18","275","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 08:56:22","46","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"58","Feb. 20th 1875","1875-02-20","'35","1935-01-01","18","0","David Brewster L.L.D.","Life of Sir Isaac Newton",,"New York","1845","1","18","323","1","Delaware Co. Library ",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 08:55:49","47","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"59","Feb. 20th 1875","1875-02-20","'35","1935-01-01","19","0","Rev. John Cormack","Lives of ancient philosophers.",,"New York","1841","1","18","299","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 08:58:19","48","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"60","Feb. 20th 1875","1875-02-20","'35","1935-01-01","20","0","Rev. George Croly.","Life & times of George the fourth.",,"New York","1846","1","18","414","1",,,,"0.00",,,,,"1","1","2010-08-31 08:59:49","49","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"61","Feb. 20th 1875","1875-02-20","'35","1935-01-01","21","0","Lord Dover","Life of Frederic the Second vol. 1",,"New York","1841","1","18","381","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:12:01","50","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"62","Feb. 20th 1875","1875-02-20","'35","1935-01-01","22","0","Lord Dover","Life of Frederic the Second, vol. 2",,,,"1","18","362","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:11:46","51","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"63","Feb. 20th 1875","1875-02-20","'35","1935-01-01","23","0",,"Lives of eminent men",,"New York","1845","1","18","324","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:12:24","10904","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"64","Feb. 20th 1875","1875-02-20","'35","1935-01-01","24","0",,"Lives of eminent men",,"New York","1845","1","18","324","1",,,,"0.00",,,,,"1","1","2010-08-31 09:12:43","10905","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"65","Sept 28 1889","1889-09-28","July 1904","1904-07-01","6568","0","Bulwer Lytton","Last Days of Pompeii",,"Chicago Ill","1889","1","12","394","1","Publishers",,,"0.00",,"5",,,"1","127","2010-12-14 11:16:47","52","AC01_127","556","&CISOPTR=681&CISOSHOW=556"
"66","Sept 28 1889","1889-09-28","July 1904","1904-07-01","6569","0","Bulwer Lytton","Leila the Pilgrim of the Rhine",,"N. Y.","1889","1","8","490","1","Publishers",,,"0.00",,"5",,,"1","127","2010-12-14 11:17:34","53","AC01_127","556","&CISOPTR=681&CISOSHOW=556"
"67","Sept 28 1889","1889-09-28",,,"6570","0","Bulwer Lytton","Rienzi",,"N. Y.","1843","1","12","474","1",,,,"0.00",,"5",,,"1","127","2010-12-14 11:18:33","54","AC01_127","556","&CISOPTR=681&CISOSHOW=556"
"68","Feb. 20th 1875","1875-02-20","'39","1939-01-01","25","0","Benjamin Franklin","Life & works",,"New York","1847","1","18","287","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:14:58","55","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"69","Feb. 20th 1875","1875-02-20","'39","1939-01-01","26","0","Benjamin Franklin","Life & works",,"New York","1847","1","18","288","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:16:23","56","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"70","Feb. 20th 1875","1875-02-20","'39","1939-01-01","27","0","Sir Francis B. Head","Life & adventures of James Bruce",,"New York","1846","1","18","382","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:21:23","57","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"71","Feb. 20th 1875","1875-02-20","'39","1939-01-01","28","0","G.P.R. James","His' of Charlemagne",,"New York","1845","1","18","408","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:23:35","58","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"72","Feb. 20th 1875","1875-02-20","June 1914","1914-06-01","29","0","J.G. Lockhart","His' of Napoleon Buonaparte.",,"New York","1849","1","18","288","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:24:44","59","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
"73","Sept 28 1889","1889-09-28",,,"6571","0","Francis H. Burnett","Little Lord Fauntleroy",,"N.Y.","1889","1","8","209","1","Publishers",,,"0.00",,"5",,,"1","127","2010-12-14 11:20:11","60","AC01_127","556","&CISOPTR=681&CISOSHOW=556"
"74","Feb. 20th 1875","1875-02-20","'35","1935-01-01","30","0","Alex Slidell MacKenzie, U.S.N.","Life Com. Oliver Hazard Perry",,"New York","1849","1","18","322","1","Delaware Co. Library",,,"0.00",,"4",,"#AUTO-GENERATED NOTE#
Origin type has been extrapolated by system based on cost specified in prior staff interface.  Please review to ensure correctness.","1","1","2010-08-31 09:25:49","61","AC01_001","430","&CISOPTR=681&CISOSHOW=430"
